trip_instance_id,knn_dist,y
2026-03-20_1496811_U_49,0.08059155941009521,0
2026-03-20_1496811_U_50,0.048909008502960205,0
2026-03-20_1496811_U_51,0.06546267867088318,0
2026-03-20_1496811_U_61,0.02860073558986187,1
2026-03-20_1496811_U_67,0.06917355209589005,0
2026-03-20_1496811_U_68,0.026182636618614197,0
2026-03-20_1496811_U_69,0.036927126348018646,0
2026-03-20_1496811_U_8,0.15669500827789307,0
2026-03-20_1496811_U_9,0.08678646385669708,0
2026-03-20_1496812_U_102,0.06032588705420494,1
2026-03-20_1496812_U_104,0.087082140147686,1
2026-03-20_1496812_U_119,0.05940018966794014,1
