frac,model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
0.75,RAW-FLAT+XGBoost,5,0.8151637505607896,0.5768169273229071,0.6326942482341069,0.6034648700673725,0.839686395907558,0.6442999241455687
0.75,RAW-FLAT+LR,5,0.7274562584118439,0.42938209331651955,0.6871846619576185,0.5285215366705471,0.7756583115940785,0.4631915440572997
1.0,RAW-STATS+XGBoost,1,0.8131524008350731,0.5217021276595745,0.6479915433403806,0.5780292314945781,0.8499767903852796,0.6403228449516943
1.0,RAW-STATS+RF,1,0.8066805845511482,0.5085178875638842,0.63107822410148,0.5632075471698114,0.838017513909269,0.6012277620161447
1.0,RAW-STATS+LR,1,0.753027139874739,0.42300194931773877,0.6881606765327696,0.523943661971831,0.8051800340114355,0.5358762898516422
1.0,RAW-FLAT+XGBoost,1,0.8325678496868476,0.5717131474103586,0.6067653276955602,0.5887179487179487,0.8518877336636214,0.6379152591290187
1.0,RAW-FLAT+LR,1,0.7528183716075156,0.42181340341655715,0.678646934460888,0.520259319286872,0.7927265907385938,0.5199827405984813
1.0,RAW-STATS+XGBoost,2,0.830546265328874,0.5739231664726426,0.5558060879368658,0.5647193585337915,0.8366285165314816,0.6243712602481285
1.0,RAW-STATS+RF,2,0.8327759197324415,0.5872611464968153,0.5197294250281849,0.5514354066985646,0.8255375496721528,0.6111674313229816
1.0,RAW-STATS+LR,2,0.7759197324414716,0.4519543973941368,0.6257046223224352,0.524822695035461,0.7986013148981052,0.5295051156722294
1.0,RAW-FLAT+XGBoost,2,0.8301003344481606,0.5770653514180024,0.5276211950394588,0.5512367491166078,0.8348807084983327,0.6147701126903853
1.0,RAW-FLAT+LR,2,0.7681159420289855,0.43845534995977475,0.6144306651634723,0.5117370892018779,0.7800984575547105,0.5025908843696508
1.0,RAW-STATS+XGBoost,3,0.7949875818469181,0.4489966555183946,0.683206106870229,0.5418768920282543,0.8305240836237227,0.5569150245085731
1.0,RAW-STATS+RF,3,0.7807631519530368,0.4210076857386849,0.6272264631043257,0.5038323965252938,0.8073474242840151,0.5108214266908961
1.0,RAW-STATS+LR,3,0.7464438925265297,0.3779869659666908,0.6641221374045801,0.48177203507152744,0.7854950656527665,0.4584561709235512
1.0,RAW-FLAT+XGBoost,3,0.8153081959810341,0.48336798336798337,0.5916030534351145,0.5320366132723112,0.8250328805146891,0.5530363648029897
1.0,RAW-FLAT+LR,3,0.7315421088281779,0.36036036036036034,0.6615776081424937,0.46657694033198743,0.7693092263108376,0.44463351256744027
1.0,RAW-STATS+XGBoost,4,0.7960837272113437,0.5764285714285714,0.7205357142857143,0.6404761904761904,0.8625900111775074,0.6988933756710216
1.0,RAW-STATS+RF,4,0.7882061670042764,0.5622825330549757,0.7214285714285714,0.6319906140007822,0.850207160053308,0.670886661937705
1.0,RAW-STATS+LR,4,0.7272113436866982,0.4747530186608123,0.7723214285714286,0.5880353501019715,0.8176429968616997,0.5949331443030301
1.0,RAW-FLAT+XGBoost,4,0.8125140670717983,0.6156325543916197,0.6821428571428572,0.6471833968657349,0.8638786488113152,0.6944986304028814
1.0,RAW-FLAT+LR,4,0.7274364168354716,0.473376243417203,0.7223214285714286,0.5719335454224107,0.8089687405958471,0.5872188360495505
1.0,RAW-STATS+XGBoost,5,0.8120233288470166,0.5654405474764757,0.6670030272452069,0.612037037037037,0.849912844094107,0.6643514421957533
1.0,RAW-STATS+RF,5,0.8017048003589053,0.5453005927180355,0.649848637739657,0.5930018416206262,0.8480151766824408,0.6548842503465079
1.0,RAW-STATS+LR,5,0.7456258411843876,0.45335942596216566,0.7013118062563067,0.5507131537242472,0.8083390840611363,0.5363253849256909
1.0,RAW-FLAT+XGBoost,5,0.8212202781516375,0.5936293436293436,0.62058526740666,0.6068080907745437,0.8477907746004785,0.6574868888962573
1.0,RAW-FLAT+LR,5,0.7261103633916555,0.42830423940149626,0.693239152371342,0.5294797687861271,0.7708077630896122,0.44641754755208596
