trip_instance_id,recon_mse,split,y
2026-03-11_1379485_U_15,0.17857009,history,0
2026-03-11_1379485_U_16,0.21505794,history,1
2026-03-11_1379485_U_17,0.17353086,history,1
2026-03-11_1379485_U_18,0.20285247,history,1
2026-03-11_1379485_U_2,0.27682248,history,0
2026-03-11_1379485_U_20,0.18833625,history,0
2026-03-11_1379485_U_21,0.20202403,history,0
2026-03-11_1379485_U_23,0.4304101,history,0
2026-03-11_1379485_U_24,0.38923824,history,0
2026-03-11_1379485_U_25,0.22657156,history,0
2026-03-11_1379485_U_26,0.21870874,history,0
2026-03-11_1379485_U_27,0.22594762,history,1
2026-03-11_1379485_U_28,0.2364617,history,1
2026-03-11_1379485_U_29,0.17539284,history,1
2026-03-11_1379485_U_3,0.24244988,history,0
2026-03-11_1379485_U_31,0.15816836,history,0
2026-03-11_1379485_U_33,0.40991056,history,0
2026-03-11_1379485_U_34,0.30546185,history,0
2026-03-11_1379485_U_35,0.13291101,history,1
2026-03-11_1379485_U_36,0.12036675,history,1
2026-03-11_1379485_U_38,0.27612,history,1
2026-03-11_1379485_U_39,0.25362027,history,1
2026-03-11_1379485_U_4,0.14087994,history,0
2026-03-11_1379485_U_44,0.3891556,history,0
2026-03-11_1379485_U_45,0.23859075,history,0
2026-03-11_1379485_U_47,0.22129315,history,1
2026-03-11_1379485_U_5,0.24311996,history,1
2026-03-11_1379485_U_51,0.29521918,history,0
2026-03-11_1379485_U_52,0.21214293,history,0
2026-03-11_1379485_U_53,0.22089124,history,1
2026-03-11_1379485_U_54,0.1489587,history,1
2026-03-11_1379485_U_56,0.19705436,history,0
2026-03-11_1379485_U_57,0.2705228,history,1
2026-03-11_1379485_U_59,0.1484973,history,0
2026-03-11_1379485_U_60,0.13505481,history,0
2026-03-11_1379485_U_62,0.3074388,history,0
2026-03-11_1379485_U_63,0.3536179,history,0
2026-03-11_1379485_U_66,0.2763186,history,1
2026-03-11_1379485_U_7,0.18810868,history,0
2026-03-11_1379485_U_71,0.10416572,history,1
2026-03-11_1379485_U_72,0.32263923,history,0
2026-03-11_1379485_U_73,0.26587027,history,0
2026-03-11_1379485_U_74,0.16919005,history,1
2026-03-11_1379485_U_75,0.2740111,history,1
2026-03-11_1379485_U_76,0.18931174,history,1
2026-03-11_1379485_U_77,0.25862467,history,1
2026-03-11_1379485_U_81,0.11449536,history,0
2026-03-11_1379485_U_82,0.16069174,history,0
2026-03-11_1379485_U_83,0.27565375,history,0
2026-03-11_1379485_U_84,0.20359878,history,0
2026-03-11_1379485_U_85,0.24304748,history,0
2026-03-11_1379485_U_88,0.28555232,history,0
2026-03-11_1379485_U_89,0.24449259,history,0
2026-03-11_1379485_U_90,0.29451853,history,0
2026-03-11_1379485_U_91,0.2636468,history,0
