fold,feature,beta,se,wald_z,p
4,min(heading_change),-0.0037265897,0.01849544053342445,-0.2014869405002577,0.8403178400135443
4,min(progress_frac),0.561419,0.045778578988371364,12.263792860520304,0.0
4,min(progress_rate),0.009399309,0.03794741800756664,0.24769297402987642,0.804371968421933
4,min(cross_track_m),0.01588979,0.018945918401150588,0.8386919848741344,0.4016421772478733
4,min(dwell_frac),0.15740356,0.027576306614787237,5.707927486136089,1.1436011915222366e-08
4,min(tod_sin),-0.10549105,34.46121160920724,-0.0030611532404606987,0.9975575569057356
4,min(tod_cos),0.05709045,31.056751079319177,0.0018382621521626501,0.9985332798361399
4,min(is_weekend),0.0045473315,78869.34631502516,5.765651288662594e-08,0.9999999539967586
4,min(rain_mm),0.048327576,0.02725841119305924,1.7729417913158758,0.07623835274552948
4,min(headway_min),0.11698993,28331.417914439575,4.129335612768097e-06,0.9999967052668681
4,max(speed_mps),0.18636008,0.24117359885279213,0.7727217114821202,0.43968709455232613
4,max(accel),0.14687252,0.11266647165992613,1.3036045088027535,0.19236846257889795
4,max(heading_change),-0.018615264,0.05201751575126539,-0.3578653108802192,0.7204441117042346
4,max(progress_frac),0.13970241,0.045124379211766014,3.0959408627037073,0.0019618948499295907
4,max(progress_rate),-0.07069047,0.18903620755761533,-0.3739520003443604,0.7084400277061769
4,max(cross_track_m),0.54531354,0.0510843718666391,10.674762499662618,0.0
4,max(dwell_frac),0.048536807,0.020832676713196663,2.3298401816946623,0.019814599563453106
4,max(tod_sin),-0.0845072,34.54974657917669,-0.0024459570766455422,0.9980484105581224
4,max(tod_cos),0.043052822,35.863961894876624,0.0012004480285153893,0.9990421812820496
4,max(is_weekend),0.0045473315,80017.42605722557,5.682926465192626e-08,0.999999954656807
4,max(rain_mm),-0.10016901,0.09590343239379494,-1.0444778456840487,0.2962643639222935
4,max(headway_min),0.11698993,28322.91588341539,4.13057516520802e-06,0.9999967042778484
5,mean(speed_mps),-0.6496533,0.06166603326383316,-10.535026839891566,0.0
5,mean(accel),-0.06423533,0.05184474560093919,-1.238994017299741,0.21534771366781724
5,mean(heading_change),-0.20002112,0.028672877924572054,-6.975969362120781,3.0377922399793533e-12
5,mean(progress_frac),-1.8385267,0.05299010285438589,-34.69566252440047,0.0
5,mean(progress_rate),-0.00024635022,0.050202692031594415,-0.0049071116894900445,0.9960847070580363
5,mean(cross_track_m),0.259533,0.06082552405724335,4.266843436107402,1.9825819130625533e-05
5,mean(dwell_frac),-0.22697197,0.04137340105192311,-5.485939353247724,4.112779916631837e-08
5,mean(tod_sin),-0.09272875,12.785917356694888,-0.007252412660795555,0.9942134626356474
5,mean(tod_cos),0.083491385,11.569178860698543,0.007216707943438396,0.9942419501328617
5,mean(is_weekend),0.14854753,187816.89111715165,7.909167769239571e-07,0.9999993689397149
5,mean(rain_mm),-0.03995183,0.04898237508441223,-0.8156368700684989,0.4147078553961825
5,mean(headway_min),0.115210995,49617.51656388709,2.3219822969120627e-06,0.9999981473261748
5,std(speed_mps),0.27200374,0.1943761411406613,1.3993679392750855,0.16170267592330712
5,std(accel),-0.19412367,0.17209058496236562,-1.1280319054133403,0.25930644497304334
5,std(heading_change),0.15402736,0.06534247649424327,2.357231711458883,0.018411754252081858
5,std(progress_frac),0.046934932,0.047503337349201806,0.9880344221985552,0.3231357902651575
5,std(progress_rate),0.18671347,0.18735788150637273,0.9965605423562304,0.31897786645524273
5,std(cross_track_m),-0.4738022,0.08686055399123034,-5.454745418136383,4.904305783703933e-08
5,std(dwell_frac),-0.08838136,0.04302777517026547,-2.0540536232998794,0.0399705019926615
5,std(tod_sin),0.15584925,3.9103675586245026,0.03985539615761176,0.9682084115357967
5,std(tod_cos),-0.009969904,4.775017629331195,-0.002087930320140054,0.9983340738439492
5,std(is_weekend),-0.34398115,0.05131298283043493,-6.70358899129161,2.0336177186663917e-11
