fold,feature,drop_roc_auc
4,max(progress_rate),0.0011529760113494826
4,max(cross_track_m),0.004072172842956012
4,max(dwell_frac),-7.657667340132957e-06
4,max(tod_sin),0.003410590688276538
4,max(tod_cos),1.0089312583305698e-05
4,max(is_weekend),0.0
4,max(rain_mm),-7.633485232795278e-05
4,max(headway_min),2.5082219165140085e-05
5,mean(speed_mps),0.02388266827172859
5,mean(accel),-0.0009458940676645544
5,mean(heading_change),0.0016063958377052657
5,mean(progress_frac),0.2874218994894054
5,mean(progress_rate),0.001311398781709272
5,mean(cross_track_m),0.0025119208148794646
5,mean(dwell_frac),0.0032716426494348696
5,mean(tod_sin),0.0017497104747458692
5,mean(tod_cos),-0.000570508094628297
5,mean(is_weekend),0.002822460116240966
5,mean(rain_mm),0.0011168878720135167
5,mean(headway_min),0.012720556540447648
5,std(speed_mps),0.0014929869255955075
5,std(accel),0.00010857742759550204
5,std(heading_change),-0.0005416501615199354
5,std(progress_frac),0.008244826455113707
5,std(progress_rate),0.0003357299630916577
5,std(cross_track_m),4.828573981537909e-05
5,std(dwell_frac),0.004805435245446787
5,std(tod_sin),-0.0005482134130740835
5,std(tod_cos),0.00402269109612714
5,std(is_weekend),0.0004669658888462602
5,std(rain_mm),0.0007697777255176508
5,std(headway_min),0.0003905644017968113
5,min(speed_mps),-5.969502854791253e-05
5,min(accel),0.0007142156536024902
5,min(heading_change),-2.328426272013573e-06
5,min(progress_frac),0.027927828681380294
5,min(progress_rate),-3.402412889930151e-05
5,min(cross_track_m),-0.0005814371454424316
5,min(dwell_frac),-0.00028543595561660864
5,min(tod_sin),0.003109729707546838
5,min(tod_cos),-0.0012038982512644792
5,min(is_weekend),0.0
5,min(rain_mm),-8.20770260867576e-06
5,min(headway_min),0.0040712533365622194
5,max(speed_mps),0.0016321977113317287
5,max(accel),-0.0004004747661167429
5,max(heading_change),4.987198021316752e-05
5,max(progress_frac),0.0026367390157219115
5,max(progress_rate),0.0009466508062031198
5,max(cross_track_m),0.0019026153174941719
5,max(dwell_frac),8.731598520039795e-06
5,max(tod_sin),0.0014687858450310952
5,max(tod_cos),-3.229236185946505e-05
5,max(is_weekend),0.0
5,max(rain_mm),-1.935504338577143e-05
5,max(headway_min),-6.246003474579265e-05
